Dates,ActualPrice,MultiPredictPrice,PredictPrice
2017-01-06,933.72424,926.312,993.9331
2017-01-07,863.88574,878.60254,915.95087
2017-01-08,916.8154,816.5574,846.065
2017-01-09,896.1667,890.4764,899.0219
2017-01-10,909.0768,875.01086,878.35596
2017-01-11,821.89044,887.9812,891.27576
2017-01-12,794.2928,733.505,804.08716
2017-01-13,810.722,758.7001,776.51984
2017-01-14,832.49603,783.2435,792.9292
2017-01-15,820.7716,812.34515,814.68506
2017-01-16,833.0367,804.1786,802.96924
2017-01-17,887.19055,814.88666,815.2254
2017-01-18,887.0902,843.7882,869.375
2017-01-19,898.76794,853.49457,869.27454
2017-01-20,898.18585,869.91296,880.9589
2017-01-21,917.68506,875.081,880.3764
2017-01-22,920.5574,890.7351,899.8923
2017-01-23,922.5122,894.0375,902.7678
2017-01-24,903.3525,900.77203,904.7248
2017-01-25,894.5009,867.5172,885.54663
2017-01-26,909.73364,873.6802,876.68915
2017-01-27,918.44183,888.71295,891.93317
2017-01-28,920.7236,895.42456,900.64984
2017-01-29,918.28156,901.7444,902.934
2017-01-30,920.68225,900.1243,900.48944
2017-01-31,950.8267,898.4982,902.89264
2017-02-01,976.59906,913.99677,933.07935
2017-02-02,998.1244,944.81476,958.90204
2017-02-03,1013.1376,963.94434,980.4791
2017-02-04,1023.74646,973.978,995.5337
2017-02-05,1018.78217,993.3836,1006.17456
2017-02-06,1024.6815,992.6484,1001.19507
2017-02-07,1044.2922,1000.2224,1007.1127
2017-02-08,1050.2899,1011.9752,1026.7887
2017-02-09,992.8239,1010.92896,1032.8076
2017-02-10,978.0652,925.5623,975.165
2017-02-11,1008.40753,943.5598,960.3713
2017-02-12,1005.4125,981.80164,990.79016
2017-02-13,996.45215,981.7767,987.7868
2017-02-14,1010.94684,970.4082,978.8025
2017-02-15,1014.0988,980.91534,993.33673
2017-02-16,1033.5372,987.5975,996.49786
2017-02-17,1049.7756,1001.99347,1015.99695
2017-02-18,1062.479,1015.86487,1032.2916
2017-02-19,1053.5543,1032.3566,1045.0424
2017-02-20,1066.1578,1029.3425,1036.084
2017-02-21,1103.85,1036.0226,1048.7358
2017-02-22,1123.8861,1064.6262,1086.5902
2017-02-23,1157.329,1086.236,1106.7238
2017-02-24,1170.27,1112.5413,1140.3468
2017-02-25,1156.6243,1109.4827,1153.3633
2017-02-26,1161.4744,1117.2733,1139.638
2017-02-27,1184.596,1125.134,1144.5159
2017-02-28,1191.1428,1146.4585,1167.7764
2017-03-01,1212.8407,1151.4803,1174.3646
2017-03-02,1245.4958,1170.7153,1196.2051
2017-03-03,1265.4158,1197.4736,1229.0918
2017-03-04,1260.0321,1217.5919,1249.1632
2017-03-05,1257.923,1221.1337,1243.7379
2017-03-06,1273.0459,1220.4103,1241.6127
2017-03-07,1230.7133,1236.0521,1256.8534
2017-03-08,1183.9929,1174.4454,1214.2018
2017-03-09,1169.507,1136.8613,1167.1698
2017-03-10,1143.1714,1129.1133,1152.5956
2017-03-11,1156.5537,1052.9368,1126.1102
2017-03-12,1188.3217,1106.4376,1139.567
2017-03-13,1218.9132,1149.1895,1171.5254
2017-03-14,1238.9142,1163.1752,1202.3192
2017-03-15,1251.5243,1193.7167,1222.4619
2017-03-16,1189.7957,1206.5415,1235.1654
2017-03-17,1093.634,1111.6385,1173.0089
2017-03-18,991.66125,1005.18854,1076.3274
2017-03-19,998.3927,924.0294,973.99945
2017-03-20,1015.3101,951.77594,980.74817
2017-03-21,1077.906,975.8257,997.7127
2017-03-22,1041.6042,1033.4517,1060.5315
2017-03-23,1033.5149,996.38965,1024.0912
2017-03-24,973.84454,998.54047,1015.9745
2017-03-25,922.35223,924.5135,956.1415
2017-03-26,961.44476,875.4217,904.56464
2017-03-27,1003.0308,927.269,943.71655
2017-03-28,1042.2115,963.3958,985.39856
2017-03-29,1033.6735,991.1996,1024.7006
2017-03-30,1035.8488,988.5955,1016.1335
2017-03-31,1063.5583,995.4204,1018.31604
2017-04-01,1087.0469,1018.584,1046.1261
2017-04-02,1100.9185,1048.8414,1069.7112
2017-04-03,1136.3949,1058.5377,1083.6449
2017-04-04,1145.0701,1084.2369,1119.2975
2017-04-05,1130.5178,1099.182,1128.0194
2017-04-06,1172.5028,1092.0089,1113.3895
2017-04-07,1192.9753,1120.7344,1155.6094
2017-04-08,1187.8942,1155.1,1176.209
2017-04-09,1199.7253,1153.4017,1171.0953
2017-04-10,1210.4067,1160.3004,1183.0023
2017-04-11,1218.378,1172.4391,1193.7548
2017-04-12,1220.625,1181.56,1201.7803
2017-04-13,1185.7474,1182.8984,1204.0426
2017-04-14,1187.0522,1140.6476,1168.9352
2017-04-15,1187.1757,1150.0653,1170.2482
2017-04-16,1182.9031,1153.2346,1170.3723
2017-04-17,1191.7334,1151.9398,1166.0731
2017-04-18,1208.2518,1153.1471,1174.9591
2017-04-19,1204.7965,1167.0543,1191.5853
2017-04-20,1228.6816,1164.9465,1188.1069
2017-04-21,1245.488,1185.4093,1212.1558
2017-04-22,1236.5826,1203.6127,1229.084
2017-04-23,1238.509,1197.2095,1220.1134
2017-04-24,1246.381,1201.2573,1222.0538
2017-04-25,1266.7942,1207.0186,1229.9835
2017-04-26,1294.9512,1226.2834,1250.5525
2017-04-27,1320.114,1241.241,1278.9373
2017-04-28,1323.0646,1265.545,1304.3165
2017-04-29,1327.1606,1266.5992,1307.2932
2017-04-30,1328.5194,1280.7034,1311.426
2017-05-01,1383.0753,1284.27,1312.7969
2017-05-02,1431.488,1309.3767,1367.8726
2017-05-03,1478.4691,1356.8837,1416.7942
2017-05-04,1540.5974,1401.4115,1464.3121
2017-05-05,1549.1001,1420.0411,1527.2147
2017-05-06,1546.1246,1442.6947,1535.8291
2017-05-07,1508.6895,1480.3201,1532.8145
2017-05-08,1588.9666,1426.6565,1494.8999
2017-05-09,1709.213,1489.289,1576.2375
2017-05-10,1747.9733,1591.2372,1698.3005
2017-05-11,1828.4283,1658.145,1737.7046
2017-05-12,1741.5272,1717.503,1819.5859
2017-05-13,1694.2606,1635.1313,1731.1494
2017-05-14,1786.3225,1604.5437,1683.1074
2017-05-15,1736.634,1717.3672,1776.7185
2017-05-16,1745.1613,1653.621,1726.1742
2017-05-17,1824.5612,1647.4865,1734.845
2017-05-18,1880.3578,1708.077,1815.6476
2017-05-19,1925.7842,1770.9088,1872.5006
2017-05-20,1991.3531,1804.7349,1918.83
2017-05-21,2032.2676,1884.241,1985.7701
2017-05-22,2100.7937,1924.1636,2027.5807
2017-05-23,2160.5413,1944.6697,2097.6772
2017-05-24,2341.5466,2029.5957,2158.8645
2017-05-25,2492.1743,2178.7886,2344.6333
2017-05-26,2321.4578,2249.1448,2499.681
2017-05-27,2012.2389,2140.28,2323.9863
2017-05-28,2139.6536,1822.8834,2007.1095
2017-05-29,2205.344,2015.5927,2137.466
2017-05-30,2239.2542,2104.819,2204.7905
2017-05-31,2238.263,2102.0435,2239.575
2017-06-01,2381.8882,2088.3484,2238.558
2017-06-02,2421.6304,2202.227,2386.1182
2017-06-03,2523.3525,2286.0513,2427.0156
2017-06-04,2519.739,2401.2852,2531.8254
2017-06-05,2603.8894,2394.5098,2528.0989
2017-06-06,2818.4417,2466.9397,2614.9392
2017-06-07,2791.0872,2600.4192,2836.926
2017-06-08,2747.8025,2631.3267,2808.5781
2017-06-09,2827.6846,2620.1187,2763.7485
2017-06-10,2843.9558,2712.7854,2846.5076
2017-06-11,2853.6843,2703.4448,2863.379
2017-06-12,2704.207,2728.4216,2873.469
2017-06-13,2701.5164,2513.8713,2718.6304
2017-06-14,2620.8813,2552.9849,2715.847
2017-06-15,2327.5654,2433.7632,2632.49
2017-06-16,2444.8225,2068.1135,2330.2625
2017-06-17,2557.118,2294.006,2450.895
2017-06-18,2571.4197,2429.7993,2566.657
2017-06-19,2554.2207,2430.17,2581.4163
2017-06-20,2661.4111,2420.0383,2563.6675
2017-06-21,2682.2612,2524.1558,2674.3733
2017-06-22,2665.8918,2543.5713,2695.9314
2017-06-23,2697.935,2545.6692,2679.0056
2017-06-24,2595.3562,2590.2502,2712.142
2017-06-25,2516.254,2481.9653,2606.1277
2017-06-26,2404.0767,2396.2869,2524.505
2017-06-27,2387.4006,2233.9607,2408.9482
2017-06-28,2530.2083,2226.632,2391.789
2017-06-29,2548.4492,2379.1814,2538.8958
2017-06-30,2504.2307,2425.5457,2557.7126
2017-07-01,2432.1663,2382.2568,2512.109
2017-07-02,2441.1145,2315.1865,2437.8623
2017-07-03,2524.3284,2317.6616,2447.0764
2017-07-04,2600.1497,2391.632,2532.8318
2017-07-05,2577.4075,2470.4424,2611.0776
2017-07-06,2596.9236,2457.1887,2587.597
2017-07-07,2536.2366,2491.7737,2607.7456
2017-07-08,2508.5332,2419.0771,2545.1135
2017-07-09,2534.1602,2389.9585,2516.545
2017-07-10,2421.064,2439.1387,2542.972
2017-07-11,2329.5671,2263.6294,2426.4326
2017-07-12,2340.469,2161.1921,2332.3196
2017-07-13,2364.6614,2201.2893,2343.5254
2017-07-14,2245.4832,2241.4988,2368.3994
2017-07-15,2061.6333,2110.9338,2245.967
2017-07-16,1913.0704,1880.682,2057.6086
2017-07-17,2064.3118,1709.616,1905.8597
2017-07-18,2280.2817,1867.1478,2060.3484
2017-07-19,2307.059,2035.658,2281.689
2017-07-20,2613.3672,2147.2063,2309.192
2017-07-21,2731.6738,2322.4856,2624.728
2017-07-22,2788.5586,2511.149,2747.0525
2017-07-23,2774.5571,2623.1963,2805.9583
2017-07-24,2760.8289,2612.7344,2791.4539
2017-07-25,2582.3638,2633.2974,2777.236
2017-07-26,2496.0168,2389.9233,2592.713
2017-07-27,2584.079,2319.7798,2503.6416
2017-07-28,2763.735,2443.9856,2594.4841
2017-07-29,2735.2786,2586.7898,2780.2458
2017-07-30,2714.0798,2587.1208,2750.7832
2017-07-31,2810.645,2596.4133,2728.8452
2017-08-01,2781.5725,2655.2544,2828.845
2017-08-02,2709.1902,2541.8237,2798.721
2017-08-03,2749.0637,2568.1387,2723.7861
2017-08-04,2841.0725,2612.3662,2765.0537
2017-08-05,3167.623,2702.3945,2860.3892
2017-08-06,3245.0315,2913.227,3199.9546
2017-08-07,3328.9739,3100.3245,3280.7222
2017-08-08,3428.989,3169.394,3368.4258
2017-08-09,3354.3472,3251.6938,3473.08
2017-08-10,3423.9048,3197.144,3394.9595
2017-08-11,3551.135,3291.0503,3467.7563
2017-08-12,3819.7615,3393.7742,3601.126
2017-08-13,4039.8337,3616.7773,3883.6223
2017-08-14,4213.2573,3770.95,4115.9614
2017-08-15,4149.147,3971.236,4299.6187
2017-08-16,4187.4,3858.3425,4231.6675
2017-08-17,4346.508,3984.6736,4272.204
2017-08-18,4195.6978,4138.6455,4441.0684
2017-08-19,4121.3716,3954.8284,4281.0
2017-08-20,4114.2583,3957.8765,4202.2485
2017-08-21,4044.5085,3962.5278,4194.7173
2017-08-22,3919.5952,3883.972,4120.9053
2017-08-23,4178.5654,3679.5332,3988.9202
2017-08-24,4234.887,4008.2092,4262.8403
2017-08-25,4386.7305,4078.7476,4322.56
